Unnamed: 0,username,name,description,user_char,followers_count,following_agentid_list,previous_tweets,activity_vector
45,dfzg242,👑🍁B. T. S.🍁👑,"😭Tik Tokគ្មានអ្នកLike😭
        😥នឹងFollo😥 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: 😭Tik Tokគ្មានអ្នកLike😭
        😥នឹងFollo😥 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",49,[],[],"[0.1, 0.02, 0.0, 0.0, 0.0, 0.05, 0.15, 0.47, 0.36, 0.31, 0.44, 0.52, 0.65, 0.5, 0.51, 0.58, 0.75, 0.82, 0.79, 0.68, 0.6, 0.36, 0.17, 0.1]"
46,lpo_tuv,عبودي كربلاء,"مادام احبكم حته لو تعوفوني ابقه احبكم You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: مادام احبكم حته لو تعوفوني ابقه احبكم You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",196,[],[],"[0.08, 0.03, 0.0, 0.04, 0.0, 0.09, 0.15, 0.49, 0.44, 0.3, 0.4, 0.46, 0.59, 0.52, 0.54, 0.58, 0.66, 0.83, 0.79, 0.71, 0.55, 0.38, 0.15, 0.09]"
47,lovewanda33,CGGGx1412,"No bio yet Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: No bio yet Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",4089,[],[],"[0.01, 0.07, 0.03, 0.0, 0.03, 0.08, 0.21, 0.49, 0.42, 0.27, 0.38, 0.45, 0.56, 0.48, 0.51, 0.58, 0.67, 0.84, 0.78, 0.68, 0.65, 0.36, 0.22, 0.05]"
48,thelaundryspot,The Laundry Spot,"Our journey buying a laundromat during a pandemic! You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: Our journey buying a laundromat during a pandemic! You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",217300,[],[],"[0.05, 0.09, 0.03, 0.03, 0.08, 0.08, 0.34, 0.49, 0.6, 0.69, 0.66, 0.76, 0.79, 0.82, 0.9, 0.91, 0.88, 0.9, 0.87, 0.79, 0.66, 0.55, 0.36, 0.17]"
49,blandine_ytb,Blandine 🩷,"Hi 🦋
ytb : BLANDINE
insta : blandine_ytb
snap : blandine149 You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: Hi 🦋
ytb : BLANDINE
insta : blandine_ytb
snap : blandine149 You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",45500,[],[],"[0.08, 0.02, 0.09, 0.09, 0.07, 0.11, 0.3, 0.47, 0.63, 0.74, 0.72, 0.8, 0.79, 0.83, 0.93, 0.87, 0.95, 0.86, 0.88, 0.78, 0.72, 0.62, 0.44, 0.21]"
50,lifesimmings200,LSDoesTikTok,"female
duets are open to nice people
Don't Like Me, Block Me You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: female
duets are open to nice people
Don't Like Me, Block Me You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",17600,[],[],"[0.1, 0.02, 0.03, 0.04, 0.04, 0.15, 0.29, 0.53, 0.63, 0.68, 0.68, 0.79, 0.76, 0.85, 0.94, 0.91, 0.88, 0.94, 0.92, 0.79, 0.7, 0.6, 0.44, 0.21]"
51,lyllistapper,Lylli,"yeet or be yeeted 

a recipe for not good

lylli@a3artistsagency.com You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: yeet or be yeeted 

a recipe for not good

lylli@a3artistsagency.com You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",2400000,[],[],"[0.12, 0.0, 0.03, 0.06, 0.03, 0.14, 0.27, 0.49, 0.61, 0.7, 0.67, 0.77, 0.81, 0.77, 0.89, 0.85, 0.88, 0.88, 0.89, 0.76, 0.73, 0.62, 0.41, 0.22]"
52,syedsmarts,Ⓢⓨⓔⓓ ⓢⓜⓐⓡⓣ,"🤔Nala payan😜
qatar boys🇧🇭 doha🇧🇭 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: 🤔Nala payan😜
qatar boys🇧🇭 doha🇧🇭 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",3122,[],[],"[0.08, 0.0, 0.0, 0.02, 0.0, 0.06, 0.16, 0.55, 0.45, 0.3, 0.41, 0.53, 0.63, 0.49, 0.53, 0.59, 0.74, 0.82, 0.79, 0.74, 0.59, 0.36, 0.18, 0.09]"
53,bamsbambi,Rubi,"Hairpage | ~ @sweetbambishair You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: Hairpage | ~ @sweetbambishair You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",9030,[],[],"[0.08, 0.03, 0.01, 0.0, 0.02, 0.05, 0.23, 0.48, 0.4, 0.28, 0.36, 0.48, 0.55, 0.49, 0.49, 0.61, 0.74, 0.77, 0.79, 0.72, 0.61, 0.41, 0.2, 0.11]"
54,dr.stov,dr.stov,"316🛫
Sc- dr.stov Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: 316🛫
Sc- dr.stov Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",9074,[],[],"[0.04, 0.01, 0.0, 0.01, 0.0, 0.1, 0.23, 0.53, 0.42, 0.25, 0.39, 0.49, 0.57, 0.53, 0.51, 0.64, 0.68, 0.78, 0.82, 0.75, 0.58, 0.37, 0.17, 0.07]"
55,viperajlx,Daniel’s Wife 🫂,"✨Female, 24 ✨
👾 Twitch Affiliate 👾
www.twitch.tv/viperajlx You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: ✨Female, 24 ✨
👾 Twitch Affiliate 👾
www.twitch.tv/viperajlx You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",457,[],[],"[0.01, 0.07, 0.01, 0.0, 0.01, 0.03, 0.24, 0.45, 0.36, 0.33, 0.36, 0.53, 0.55, 0.51, 0.53, 0.64, 0.75, 0.8, 0.79, 0.74, 0.59, 0.41, 0.15, 0.13]"
56,vavamah,@mahivava,"mahi.
23.6.1993
ഇടപ്പോൺകാരൻ 
fb. mahivava You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: mahi.
23.6.1993
ഇടപ്പോൺകാരൻ 
fb. mahivava You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",18100,[],[],"[0.15, 0.03, 0.07, 0.02, 0.04, 0.13, 0.27, 0.5, 0.64, 0.69, 0.68, 0.76, 0.83, 0.76, 0.91, 0.9, 0.93, 0.88, 0.89, 0.84, 0.72, 0.62, 0.35, 0.15]"
57,dead.flower_,Steph 🧚🏼‍♀️💜,"just for fun 
🇸🇻/🇭🇳 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: just for fun 
🇸🇻/🇭🇳 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",39900,[],[],"[0.06, 0.02, 0.04, 0.03, 0.06, 0.1, 0.33, 0.54, 0.6, 0.69, 0.66, 0.84, 0.79, 0.81, 0.87, 0.89, 0.9, 0.86, 0.94, 0.77, 0.74, 0.56, 0.45, 0.16]"
58,larosalia2002,larosalia2002,"insta larosalia2002 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: insta larosalia2002 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",180200,[],[],"[0.09, 0.05, 0.05, 0.01, 0.06, 0.08, 0.28, 0.49, 0.63, 0.75, 0.73, 0.79, 0.77, 0.8, 0.93, 0.88, 0.92, 0.88, 0.85, 0.84, 0.67, 0.58, 0.41, 0.21]"
59,d_e_s_i_c_h_o_r_a_,👑|_ᗪᗴՏI _ᑕᕼOᖇᗩ_|👑,"🙏JÁÝ MÁÁ MÒĢÀL🙏
🙏JÂÝ ĞØĞÁ🙏
👑ĶĪŃĞ ŐF ĐÂĻÍŤ👑
16 DECEMBER
😊 ŤÑX FØŘ §ÁPPÓŘŤ? You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: 🙏JÁÝ MÁÁ MÒĢÀL🙏
🙏JÂÝ ĞØĞÁ🙏
👑ĶĪŃĞ ŐF ĐÂĻÍŤ👑
16 DECEMBER
😊 ŤÑX FØŘ §ÁPPÓŘŤ? You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",7000,[],[],"[0.09, 0.0, 0.05, 0.0, 0.02, 0.03, 0.18, 0.51, 0.37, 0.31, 0.41, 0.49, 0.59, 0.5, 0.47, 0.56, 0.66, 0.8, 0.76, 0.68, 0.63, 0.38, 0.16, 0.13]"
60,x_dristawastaken_x,gaymer 🇺🇦,"november 8th 2020-may 6, 2022
they/she
capcut/funimate
340K LIKES BRO WHAT You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: november 8th 2020-may 6, 2022
they/she
capcut/funimate
340K LIKES BRO WHAT You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",10400,[],[],"[0.08, 0.02, 0.03, 0.07, 0.06, 0.09, 0.29, 0.45, 0.57, 0.66, 0.72, 0.84, 0.78, 0.85, 0.86, 0.9, 0.88, 0.87, 0.9, 0.81, 0.71, 0.56, 0.41, 0.23]"
61,skdladiesfashionwear,SKD ladies fashion wear,"clothing brand. 👗 👜
viber/9840069710 “call 9823628219""
@skd_ladies_fashion_wea Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: clothing brand. 👗 👜
viber/9840069710 “call 9823628219""
@skd_ladies_fashion_wea Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",709,[],[],"[0.08, 0.0, 0.05, 0.01, 0.06, 0.0, 0.24, 0.51, 0.38, 0.28, 0.36, 0.5, 0.64, 0.5, 0.5, 0.64, 0.72, 0.76, 0.75, 0.72, 0.62, 0.35, 0.2, 0.09]"
62,crimes4ranboo,😱,"was gay.ranboo.live 
thank you for 4,219 <3
they/them
ranboo my beloved <3 You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: was gay.ranboo.live 
thank you for 4,219 <3
they/them
ranboo my beloved <3 You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",4728,[],[],"[0.0, 0.02, 0.04, 0.0, 0.02, 0.03, 0.2, 0.47, 0.37, 0.35, 0.41, 0.45, 0.65, 0.52, 0.52, 0.59, 0.67, 0.85, 0.77, 0.65, 0.64, 0.44, 0.25, 0.11]"
63,andysuzukii,andysuzukii,"Instagram ♥️: @andysuzukii
🇪🇨 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: Instagram ♥️: @andysuzukii
🇪🇨 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",468700,[],[],"[0.11, 0.04, 0.0, 0.05, 0.02, 0.1, 0.28, 0.5, 0.6, 0.67, 0.66, 0.8, 0.83, 0.82, 0.94, 0.9, 0.91, 0.85, 0.94, 0.81, 0.74, 0.64, 0.42, 0.24]"
64,bylilibet,Lilibet,"Helping you be a gym baddie 💪
NASM CPT 🫵
EHPlabs athlete “LILIBET” 🔋 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: Helping you be a gym baddie 💪
NASM CPT 🫵
EHPlabs athlete “LILIBET” 🔋 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",68700,[],[],"[0.09, 0.06, 0.06, 0.04, 0.05, 0.08, 0.28, 0.48, 0.6, 0.69, 0.72, 0.8, 0.81, 0.77, 0.85, 0.87, 0.85, 0.91, 0.87, 0.79, 0.71, 0.55, 0.35, 0.19]"
65,brandyngrams,Brandy n Grams ❤️❤️😜,"Always entertaining
Cashapp $6667bdiddy You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: Always entertaining
Cashapp $6667bdiddy You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",80800,[],[],"[0.07, 0.0, 0.03, 0.02, 0.03, 0.07, 0.32, 0.53, 0.6, 0.67, 0.67, 0.8, 0.76, 0.81, 0.9, 0.92, 0.92, 0.87, 0.86, 0.84, 0.67, 0.56, 0.43, 0.16]"
66,bobemad.o,Bob Emad,"Bob hena 🇾🇪
تعالو كلكوً انستجرام bob.emad.0
100k soon ❤️❤️ You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: Bob hena 🇾🇪
تعالو كلكوً انستجرام bob.emad.0
100k soon ❤️❤️ You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",65800,[],[],"[0.07, 0.01, 0.04, 0.07, 0.02, 0.08, 0.33, 0.51, 0.6, 0.7, 0.66, 0.83, 0.78, 0.75, 0.92, 0.94, 0.9, 0.9, 0.92, 0.81, 0.69, 0.55, 0.37, 0.24]"
67,pipilovepink,pipilovepink,"twitch配信者🎀インスタ→(@pipilovepink)もtiktokもフォローしてくれたら嬉しいです❤︎ Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: twitch配信者🎀インスタ→(@pipilovepink)もtiktokもフォローしてくれたら嬉しいです❤︎ Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",60200,[],[],"[0.1, 0.09, 0.07, 0.03, 0.01, 0.09, 0.27, 0.54, 0.62, 0.65, 0.73, 0.81, 0.78, 0.78, 0.87, 0.89, 0.88, 0.85, 0.89, 0.79, 0.65, 0.65, 0.39, 0.2]"
68,albertbarrientos3,ALBERT 🇵🇭,"🇵🇭 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: 🇵🇭 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",24200,[],[],"[0.62, 0.74, 0.73, 0.83, 0.85, 0.8, 0.9, 0.95, 0.93, 0.91, 0.87, 0.77, 0.65, 0.57, 0.4, 0.22, 0.08, 0.0, 0.06, 0.01, 0.06, 0.08, 0.33, 0.46]"
69,michallaxoxo,MichallaXoXo,"Spreading smiles is beautiful 😁
*.*~25~*.* You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: Spreading smiles is beautiful 😁
*.*~25~*.* You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",38900,[],[],"[0.08, 0.08, 0.04, 0.08, 0.06, 0.08, 0.26, 0.46, 0.62, 0.72, 0.72, 0.83, 0.76, 0.78, 0.92, 0.88, 0.9, 0.87, 0.88, 0.8, 0.7, 0.58, 0.38, 0.22]"
70,sukhpalc1,Sukhpal cheema,"Facebook - Sukhpal cheema You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: Facebook - Sukhpal cheema You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",11300,[],[],"[0.14, 0.09, 0.06, 0.09, 0.03, 0.06, 0.34, 0.49, 0.6, 0.7, 0.69, 0.78, 0.81, 0.78, 0.85, 0.92, 0.87, 0.87, 0.92, 0.76, 0.68, 0.64, 0.45, 0.25]"
71,nwr179,9wn,"لقى Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: لقى Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",94,[],[],"[0.02, 0.01, 0.04, 0.0, 0.05, 0.08, 0.22, 0.55, 0.43, 0.27, 0.38, 0.52, 0.56, 0.51, 0.46, 0.64, 0.67, 0.85, 0.83, 0.69, 0.58, 0.39, 0.21, 0.08]"
72,gneaxb_788,ايمي,"نهاية حلوة لبداية جديدة You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: نهاية حلوة لبداية جديدة You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",201,[],[],"[0.01, 0.04, 0.01, 0.0, 0.0, 0.06, 0.22, 0.47, 0.36, 0.3, 0.39, 0.54, 0.59, 0.47, 0.49, 0.61, 0.71, 0.83, 0.81, 0.71, 0.59, 0.37, 0.22, 0.09]"
73,sivapavi36,siv@,"hii You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: hii You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",568,[],[],"[0.06, 0.02, 0.01, 0.02, 0.01, 0.02, 0.17, 0.51, 0.43, 0.28, 0.39, 0.51, 0.57, 0.54, 0.47, 0.61, 0.68, 0.84, 0.84, 0.66, 0.65, 0.35, 0.15, 0.1]"
74,sitiomusical,SITIO MUSICAL,"SITIO MUSICAL, EL PORTAL DE TODOS LOS GÉNEROS 🇨🇴 CEO : GENIS VERGEL You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: SITIO MUSICAL, EL PORTAL DE TODOS LOS GÉNEROS 🇨🇴 CEO : GENIS VERGEL You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",106800,[],[],"[0.07, 0.08, 0.09, 0.03, 0.02, 0.13, 0.32, 0.52, 0.62, 0.66, 0.74, 0.8, 0.76, 0.76, 0.88, 0.85, 0.92, 0.86, 0.89, 0.83, 0.65, 0.6, 0.43, 0.23]"
75,tot_t893,نۣۗہوۣشۣۗہهۣۗہ 🍁❀,"كون كل شمس الايسططيع احد الوصول اليه💥💎 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: كون كل شمس الايسططيع احد الوصول اليه💥💎 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",3775,[],[],"[0.06, 0.0, 0.05, 0.05, 0.03, 0.05, 0.17, 0.51, 0.39, 0.34, 0.41, 0.52, 0.64, 0.52, 0.47, 0.58, 0.67, 0.76, 0.77, 0.72, 0.65, 0.36, 0.17, 0.08]"
76,seanyforreal,Sean Dhondt,"TV host for VTM 🇧🇪
Radio host @ Qmusic
👇MY NEW SONG ‘GUCCI CHAMPAGNE’🥂☀️ You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: TV host for VTM 🇧🇪
Radio host @ Qmusic
👇MY NEW SONG ‘GUCCI CHAMPAGNE’🥂☀️ You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",90600,[],[],"[0.08, 0.08, 0.03, 0.02, 0.01, 0.15, 0.34, 0.54, 0.56, 0.73, 0.74, 0.77, 0.82, 0.79, 0.93, 0.94, 0.87, 0.93, 0.89, 0.85, 0.72, 0.61, 0.43, 0.2]"
77,mrskarib,MrsKariB,"Hi 👋 I’m Kari
The mom of 4 teens…
💌 karib@sunandskyentertainment.com Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: Hi 👋 I’m Kari
The mom of 4 teens…
💌 karib@sunandskyentertainment.com Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",1300000,[],[],"[0.14, 0.06, 0.08, 0.01, 0.01, 0.13, 0.28, 0.5, 0.57, 0.7, 0.69, 0.82, 0.83, 0.81, 0.88, 0.88, 0.92, 0.89, 0.86, 0.82, 0.7, 0.57, 0.35, 0.18]"
78,billa.0039,0039,"Laugh with many dont Trust Any🔥 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.","TikTok user. Bio: Laugh with many dont Trust Any🔥 You are politically conservative in outlook — you prefer stability and proven approaches over risky change, and you value personal responsibility and careful decision-making.",10300,[],[],"[0.81, 0.67, 0.64, 0.39, 0.17, 0.05, 0.07, 0.08, 0.08, 0.1, 0.09, 0.33, 0.47, 0.56, 0.7, 0.72, 0.84, 0.82, 0.77, 0.9, 0.92, 0.88, 0.94, 0.94]"
79,nbeil10,نبيل الشمري,"الماله يمك مصلحه يكطع وياك السلام Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: الماله يمك مصلحه يكطع وياك السلام Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",193,[],[],"[0.05, 0.02, 0.01, 0.0, 0.04, 0.03, 0.23, 0.53, 0.35, 0.27, 0.42, 0.53, 0.63, 0.5, 0.51, 0.6, 0.68, 0.77, 0.78, 0.68, 0.57, 0.39, 0.2, 0.05]"
80,nea._nea._,Nea,"Instagram- Neagucci Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: Instagram- Neagucci Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",243,[],[],"[0.05, 0.04, 0.0, 0.03, 0.05, 0.07, 0.17, 0.48, 0.38, 0.26, 0.45, 0.46, 0.58, 0.5, 0.53, 0.57, 0.73, 0.79, 0.83, 0.65, 0.62, 0.38, 0.18, 0.09]"
81,ndjfjgkdfkgfcefgtfrfrf_3,Bomgik VALERA.,"Бомжик в деле Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: Бомжик в деле Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",342,[],[],"[0.04, 0.0, 0.05, 0.05, 0.04, 0.01, 0.17, 0.5, 0.36, 0.33, 0.39, 0.49, 0.63, 0.51, 0.47, 0.6, 0.66, 0.79, 0.8, 0.72, 0.65, 0.41, 0.19, 0.14]"
82,wissam_albokai,وسام 💎,"👽Subscribe my YouTube channel 👽
🪬 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: 👽Subscribe my YouTube channel 👽
🪬 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",911000,[],[],"[0.08, 0.06, 0.06, 0.08, 0.05, 0.15, 0.35, 0.53, 0.57, 0.66, 0.71, 0.81, 0.81, 0.85, 0.88, 0.93, 0.92, 0.9, 0.86, 0.76, 0.74, 0.61, 0.36, 0.18]"
83,user594924259710,thet,"မပြည့်စုံတဲ့ဘဝကိုပိုင်ဆိုင်ထားတယ်😒😇 You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: မပြည့်စုံတဲ့ဘဝကိုပိုင်ဆိုင်ထားတယ်😒😇 You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",3295,[],[],"[0.03, 0.04, 0.03, 0.04, 0.04, 0.04, 0.19, 0.52, 0.38, 0.28, 0.41, 0.45, 0.59, 0.53, 0.5, 0.56, 0.69, 0.83, 0.78, 0.74, 0.57, 0.35, 0.17, 0.12]"
84,user582gf34ov5,جيمي المنسي,"جيمي منسي You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: جيمي منسي You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",151,[],[],"[0.0, 0.01, 0.0, 0.02, 0.06, 0.01, 0.17, 0.48, 0.39, 0.26, 0.38, 0.5, 0.65, 0.48, 0.52, 0.6, 0.74, 0.84, 0.84, 0.66, 0.61, 0.37, 0.16, 0.15]"
85,0ll5eee,• عـَمـوريَ 💙₎⇣˝,"حلمي 10k🙄🤲
انستاا. 0ll5ee You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: حلمي 10k🙄🤲
انستاا. 0ll5ee You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",91,[],[],"[0.06, 0.02, 0.0, 0.03, 0.0, 0.05, 0.19, 0.49, 0.42, 0.31, 0.44, 0.47, 0.59, 0.54, 0.47, 0.57, 0.68, 0.8, 0.78, 0.65, 0.59, 0.42, 0.23, 0.08]"
86,0qqh1,AHMED🌝💖,"💗💖🤍 〆 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: 💗💖🤍 〆 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",14,[],[],"[0.02, 0.0, 0.0, 0.04, 0.0, 0.07, 0.21, 0.49, 0.44, 0.3, 0.38, 0.53, 0.63, 0.53, 0.53, 0.56, 0.68, 0.77, 0.79, 0.74, 0.58, 0.42, 0.24, 0.08]"
87,noopur.biswas84gm,noopur.biswas84gmail,"Instagram @havecouragetobeyou
fbpg https://www.facebook.com/Noopur-Singh-Saatwat You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.","TikTok user. Bio: Instagram @havecouragetobeyou
fbpg https://www.facebook.com/Noopur-Singh-Saatwat You lean conservative in your political and social views, favoring low-risk choices and respect for established institutions and traditions.",96700,[],[],"[0.12, 0.1, 0.1, 0.01, 0.02, 0.14, 0.3, 0.52, 0.64, 0.71, 0.72, 0.78, 0.77, 0.79, 0.89, 0.93, 0.88, 0.88, 0.95, 0.76, 0.69, 0.59, 0.36, 0.17]"
88,kaylahsuzannepage,Kaylah,"Aussie 🇦🇺  
FOLLOW ME ON INSTA - kaysuzanne_
Mumma to Bella🦋 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.","TikTok user. Bio: Aussie 🇦🇺  
FOLLOW ME ON INSTA - kaysuzanne_
Mumma to Bella🦋 You hold politically conservative views: you value tradition, caution, and established norms, and tend to be skeptical of risky or unconventional choices.",25900,[],[],"[0.74, 0.75, 0.76, 0.84, 0.9, 0.94, 0.88, 0.89, 0.91, 0.76, 0.73, 0.58, 0.41, 0.15, 0.11, 0.05, 0.05, 0.09, 0.07, 0.12, 0.32, 0.47, 0.57, 0.7]"
89,sydneypaschall,Sydney Paschall,"22 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.","TikTok user. Bio: 22 Politically, you are conservative: you're cautious about change, prioritize personal responsibility, and prefer tried-and-tested approaches over experimentation.",5232,[],[],"[0.05, 0.0, 0.0, 0.0, 0.02, 0.0, 0.17, 0.5, 0.36, 0.29, 0.44, 0.49, 0.56, 0.52, 0.46, 0.59, 0.72, 0.76, 0.83, 0.66, 0.61, 0.36, 0.2, 0.14]"
